Date,Payee,Memo,Inflow,Outflow
09.07.2017,migrolino,,,1.80
10.07.2017,Migros,,,44.60
11.07.2017,Denner,,,3.70
11.07.2017,Coop,,,4.45
17.07.2017,Coop,,,3.95
17.07.2017,BURGER,,,14.60
18.07.2017,Restaurant,,,34.00
18.07.2017,Coop,,,4.15
20.07.2017,Coop,,,4.15
21.07.2017,Coop,,,35.10
22.07.2017,Coop,,,26.65
31.07.2017,Coop,,,4.20
31.07.2017,Denner,,,2.60
01.08.2017,Redlight,,,12.00
01.08.2017,Red,,,48.00
01.08.2017,digitec,,,200.15
02.08.2017,Coop,,,5.45
03.08.2017,Coop,,,1.85
03.08.2017,KITAG,,,36.00
03.08.2017,Coop,,,3.90
03.08.2017,TIFFINS,,,32.50
04.08.2017,Coop,,,19.00
05.08.2017,YOU,,,5.03
07.08.2017,Coop,,,16.05
07.08.2017,Coop,,,3.20
08.08.2017,Coop,,,2.50
